country,gas_production,Percentage,Rank,Latitude,Longitude
Afghanistan,1.793,0.01,65,33.0,65.0
Albania,0.466,0.0,73,41.0,20.0
Algeria,981.75,3.18,8,28.0,3.0
American Samoa,0.0,0.0,81,-14.3333,-170.0
Angola,18.579,0.06,49,-12.5,18.5
Antigua and Barbuda,0.0,0.0,81,17.05,-61.8
Argentina,415.918,1.35,16,-34.0,-64.0
Armenia,0.0,0.0,81,40.0,45.0
Aruba,0.0,0.0,81,12.5,-69.9667
Australia,1528.153,4.95,5,-27.0,133.0
Austria,12.6,0.04,56,47.3333,13.3333
Azerbaijan,341.368,1.11,20,40.5,47.5
Bahamas,0.0,0.0,81,24.25,-76.0
Bahrain,171.088,0.55,29,26.0,50.55
Bangladesh,232.63,0.75,26,24.0,90.0
Barbados,0.186,0.0,77,13.1667,-59.5333
Belarus,0.236,0.0,75,53.0,28.0
Belgium,0.0,0.0,81,50.8333,4.0
Belize,0.0,0.0,81,17.25,-88.75
Benin,0.0,0.0,81,9.5,2.25
Bermuda,0.0,0.0,81,32.3333,-64.75
Bhutan,0.0,0.0,81,27.5,90.5
Bosnia and Herzegovina,0.0,0.0,81,44.0,18.0
Botswana,0.0,0.0,81,-22.0,24.0
Brazil,229.821,0.74,27,-10.0,-55.0
Bulgaria,0.974,0.0,69,43.0,25.0
Burkina Faso,0.0,0.0,81,13.0,-2.0
Burundi,0.0,0.0,81,-3.5,30.0
Cambodia,0.0,0.0,81,13.0,105.0
Cameroon,7.809,0.03,59,6.0,12.0
Canada,1850.164,5.99,3,60.0,-95.0
Cayman Islands,0.0,0.0,81,19.5,-80.5
Central African Republic,0.0,0.0,81,7.0,21.0
Chad,0.0,0.0,81,15.0,19.0
Chile,13.123,0.04,54,-30.0,-71.0
China,2218.414,7.19,2,35.0,105.0
Colombia,124.323,0.4,35,4.0,-72.0
Comoros,0.0,0.0,81,-12.1667,44.25
Congo,15.184,0.05,51,-1.0,15.0
Cook Islands,0.0,0.0,81,-21.2333,-159.7667
Costa Rica,0.0,0.0,81,10.0,-84.0
Croatia,12.796,0.04,55,45.1667,15.5
Cuba,12.229,0.04,57,21.5,-80.0
Cyprus,0.0,0.0,81,35.0,33.0
