country,oil_production,Percentage,Rank,Latitude,Longitude
Afghanistan,0.0,0.0,87,33.0,65.0
Albania,15.398,0.04,54,41.0,20.0
Algeria,740.243,1.76,14,28.0,3.0
American Samoa,0.0,0.0,87,-14.3333,-170.0
Angola,671.881,1.6,15,-12.5,18.5
Antigua and Barbuda,0.0,0.0,87,17.05,-61.8
Argentina,381.543,0.91,22,-34.0,-64.0
Armenia,0.0,0.0,87,40.0,45.0
Aruba,0.0,0.0,87,12.5,-69.9667
Australia,203.443,0.48,27,-27.0,133.0
Austria,9.799,0.02,63,47.3333,13.3333
Azerbaijan,387.392,0.92,20,40.5,47.5
Bahamas,0.0,0.0,87,24.25,-76.0
Bahrain,35.989,0.09,44,26.0,50.55
Bangladesh,2.574,0.01,72,24.0,90.0
Barbados,0.63,0.0,79,13.1667,-59.5333
Belarus,20.622,0.05,53,53.0,28.0
Belgium,0.0,0.0,87,50.8333,4.0
Belize,1.23,0.0,77,17.25,-88.75
Benin,0.0,0.0,87,9.5,2.25
Bermuda,0.0,0.0,87,32.3333,-64.75
Bhutan,0.0,0.0,87,27.5,90.5
Bosnia and Herzegovina,0.0,0.0,87,44.0,18.0
Botswana,0.0,0.0,87,-22.0,24.0
Brazil,1896.362,4.52,7,-10.0,-55.0
Bulgaria,0.631,0.0,78,43.0,25.0
Burkina Faso,0.0,0.0,87,13.0,-2.0
Burundi,0.0,0.0,87,-3.5,30.0
Cambodia,0.0,0.0,87,13.0,105.0
Cameroon,58.749,0.14,37,6.0,12.0
Canada,3186.427,7.59,3,60.0,-95.0
Cayman Islands,0.0,0.0,87,19.5,-80.5
Central African Republic,0.0,0.0,87,7.0,21.0
Chad,75.579,0.18,33,15.0,19.0
Chile,3.191,0.01,69,-30.0,-71.0
China,2380.894,5.67,5,35.0,105.0
Colombia,461.863,1.1,18,4.0,-72.0
Comoros,0.0,0.0,87,-12.1667,44.25
Congo,160.059,0.38,28,-1.0,15.0
Cook Islands,0.0,0.0,87,-21.2333,-159.7667
Costa Rica,0.0,0.0,87,10.0,-84.0
Croatia,8.958,0.02,65,45.1667,15.5
Cuba,34.205,0.08,46,21.5,-80.0
Cyprus,0.0,0.0,87,35.0,33.0
Denmark,37.04,0.09,42,56.0,10.0
Djibouti,0.0,0.0,87,11.5,43.0
Dominica,0.0,0.0,87,15.4167,-61.3333
Dominican Republic,0.0,0.0,87,19.0,-70.6667
Ecuador,299.799,0.71,25,-2.0,-77.5
Egypt,347.98,0.83,24,27.0,30.0
El Salvador,0.0,0.0,87,13.8333,-88.9167
Equatorial Guinea,63.794,0.15,34,2.0,10.0
Eritrea,0.0,0.0,87,15.0,39.0
Estonia,0.0,0.0,87,59.0,26.0
Ethiopia,0.0,0.0,87,8.0,38.0
Faroe Islands,0.0,0.0,87,62.0,-7.0
Fiji,0.0,0.0,87,-18.0,175.0
Finland,0.0,0.0,87,64.0,26.0
France,10.533,0.03,62,46.0,2.0
French Guiana,0.0,0.0,87,4.0,-53.0
French Polynesia,0.0,0.0,87,-15.0,-140.0
Gabon,110.915,0.26,31,-1.0,11.75
Gambia,0.0,0.0,87,13.4667,-16.5667
Georgia,0.253,0.0,80,42.0,43.5
Germany,29.639,0.07,49,51.0,9.0
Ghana,62.684,0.15,35,8.0,-2.0
Gibraltar,0.0,0.0,87,36.1833,-5.3667
Greece,2.018,0.0,73,39.0,22.0
Greenland,0.0,0.0,87,72.0,-40.0
Grenada,0.0,0.0,87,12.1167,-61.6667
Guadeloupe,0.0,0.0,87,16.25,-61.5833
Guam,0.0,0.0,87,13.4667,144.7833
Guatemala,5.731,0.01,68,15.5,-90.25
Guinea,0.0,0.0,87,11.0,-10.0
Guinea-Bissau,0.0,0.0,87,12.0,-15.0
Guyana,0.0,0.0,87,5.0,-59.0
Haiti,0.0,0.0,87,19.0,-72.4167
Honduras,0.0,0.0,87,15.0,-86.5
Hong Kong,0.0,0.0,87,22.25,114.1667
Hungary,12.577,0.03,59,47.0,20.0
Iceland,0.0,0.0,87,65.0,-18.0
India,384.057,0.91,21,20.0,77.0
Indonesia,365.302,0.87,23,-5.0,120.0
Iraq,2573.837,6.13,4,33.0,44.0
Ireland,0.0,0.0,87,53.0,-8.0
Israel,0.248,0.0,81,31.5,34.75
Italy,51.859,0.12,39,42.8333,12.8333
Jamaica,0.0,0.0,87,18.25,-77.5
Japan,6.198,0.01,67,36.0,138.0
Jordan,0.014,0.0,85,31.0,36.0
Kazakhstan,978.537,2.33,11,48.0,68.0
Kenya,0.0,0.0,87,1.0,38.0
Kiribati,0.0,0.0,87,1.4167,173.0
