country,year,coal_production,coal_prod_per_capita,coal_prod_change_twh
Afghanistan,1900,0.0,0.0,
Afghanistan,1901,0.0,0.0,0.0
Afghanistan,1902,0.0,0.0,0.0
Afghanistan,1903,0.0,0.0,0.0
Afghanistan,1904,0.0,0.0,0.0
Afghanistan,1905,0.0,0.0,0.0
Afghanistan,1906,0.0,0.0,0.0
Afghanistan,1907,0.0,0.0,0.0
Afghanistan,1908,0.0,0.0,0.0
Afghanistan,1909,0.0,0.0,0.0
Afghanistan,1910,0.0,0.0,0.0
Afghanistan,1911,0.0,0.0,0.0
Afghanistan,1912,0.0,0.0,0.0
Afghanistan,1913,0.0,0.0,0.0
Afghanistan,1914,0.0,0.0,0.0
Afghanistan,1915,0.0,0.0,0.0
Afghanistan,1916,0.0,0.0,0.0
Afghanistan,1917,0.0,0.0,0.0
Afghanistan,1918,0.0,0.0,0.0
Afghanistan,1919,0.0,0.0,0.0
Afghanistan,1920,0.0,0.0,0.0
Afghanistan,1921,0.0,0.0,0.0
Afghanistan,1922,0.0,0.0,0.0
Afghanistan,1923,0.0,0.0,0.0
Afghanistan,1924,0.0,0.0,0.0
Afghanistan,1925,0.0,0.0,0.0
Afghanistan,1926,0.0,0.0,0.0
Afghanistan,1927,0.0,0.0,0.0
Afghanistan,1928,0.0,0.0,0.0
Afghanistan,1929,0.0,0.0,0.0
Afghanistan,1930,0.0,0.0,0.0
Afghanistan,1931,0.0,0.0,0.0
Afghanistan,1932,0.0,0.0,0.0
Afghanistan,1933,0.0,0.0,0.0
Afghanistan,1934,0.0,0.0,0.0
Afghanistan,1935,0.0,0.0,0.0
Afghanistan,1936,0.0,0.0,0.0
Afghanistan,1937,0.0,0.0,0.0
Afghanistan,1938,0.0,0.0,0.0
Afghanistan,1939,0.0,0.0,0.0
Afghanistan,1940,0.0,0.0,0.0
Afghanistan,1941,0.0,0.0,0.0
Afghanistan,1942,0.0,0.0,0.0
Afghanistan,1943,0.0,0.0,0.0
Afghanistan,1944,0.0,0.0,0.0
Afghanistan,1945,0.0,0.0,0.0
Afghanistan,1946,0.0,0.0,0.0
Afghanistan,1947,0.0,0.0,0.0
Afghanistan,1948,0.0,0.0,0.0
Afghanistan,1949,0.041,5.533,0.041
Afghanistan,1950,0.114,15.236,0.073
Afghanistan,1951,0.122,16.128,0.008
Afghanistan,1952,0.138,18.05,0.016
Afghanistan,1953,0.13,16.776,-0.008
Afghanistan,1954,0.122,15.528,-0.008
Afghanistan,1955,0.187,23.488,0.065
Afghanistan,1956,0.187,23.151,0.0
Afghanistan,1957,0.236,28.756,0.049
Afghanistan,1958,0.277,33.213,0.041
Afghanistan,1959,0.334,39.416,0.057
Afghanistan,1960,0.391,45.32,0.057
Afghanistan,1961,0.537,61.126,0.147
Afghanistan,1962,0.912,101.66,0.374
Afghanistan,1963,0.806,88.011,-0.106
Afghanistan,1964,0.92,98.331,0.114
Afghanistan,1965,1.172,122.56,0.252
Afghanistan,1966,1.319,134.807,0.147
Afghanistan,1967,1.229,122.806,-0.09
Afghanistan,1968,1.018,99.302,-0.212
Afghanistan,1969,1.107,105.501,0.09
Afghanistan,1970,1.335,124.163,0.228
Afghanistan,1971,1.099,99.768,-0.236
Afghanistan,1972,0.578,51.211,-0.521
Afghanistan,1973,0.952,82.287,0.374
Afghanistan,1974,0.936,78.873,-0.016
Afghanistan,1975,1.221,100.445,0.285
Afghanistan,1976,1.303,104.831,0.081
Afghanistan,1977,1.384,109.083,0.081
Afghanistan,1978,1.775,137.163,0.391
Afghanistan,1979,1.075,82.749,-0.7
Afghanistan,1980,0.691,55.329,-0.384
Afghanistan,1981,0.726,65.056,0.035
